text,label,source_domain
We may share your data with third parties for analytics.,sharing,example.com
Your personal information will be sold to data brokers.,sharing,example.com
We do not sell or share your information.,sharing,example.com
We share your data with our partners.,sharing,example.com
Third parties may access your data.,sharing,example.com
We use cookies to serve you personalized advertisements.,ads_profiling,example.com
Ads are tailored based on your browsing history.,ads_profiling,example.com
We do not use your data for advertising.,ads_profiling,example.com
We use cookies for personalized ads.,ads_profiling,example.com
Data is retained for as long as necessary to fulfill purposes.,retention,example.com
We keep your info for 12 months after account deletion.,retention,example.com
There is no specific retention period described here.,retention,example.com
We will retain your data for five years.,retention,example.com
You have the right to access and delete your data.,rights,example.com
Please contact us to exercise your privacy rights.,rights,example.com
You can request access to your data.,rights,example.com
We use industry standard encryption to protect data.,security,example.com
All passwords are hashed and data is secure.,security,example.com
We implement security measures to protect data.,security,example.com
We do not knowingly collect data from children under 13.,children,example.com
If you are a minor do not use our services.,children,example.com
We do not collect information from children.,children,example.com
Welcome to our platform. We offer many features.,other,example.com
Our service is the best in the world.,other,example.com
By using our site you agree to all terms.,other,example.com
Contact us at support@example.com for help.,other,example.com
The website is operated by Example Inc.,other,example.com
